,p1_type1,p2_type1,winner,nbrContre,probWinParType
297,Normal,Electric,0,676.0,0.3816568047337278
298,Water,Water,0,971.0,1.0
299,Grass,Normal,1,984.0,0.39939024390243905
300,Poison,Normal,1,432.0,0.3611111111111111
301,Water,Rock,1,759.0,0.5902503293807642
302,Ghost,Grass,0,351.0,0.4928774928774929
303,Bug,Bug,0,386.0,1.0
304,Psychic,Water,1,1086.0,0.6160220994475138
305,Fire,Grass,1,547.0,0.7038391224862889
306,Normal,Electric,1,676.0,0.3816568047337278
307,Water,Psychic,1,1086.0,0.3839779005524862
308,Rock,Water,1,759.0,0.40974967061923584
309,Bug,Bug,0,386.0,1.0
310,Dragon,Rock,1,260.0,0.7461538461538462
311,Fighting,Rock,1,194.0,0.6804123711340206
312,Psychic,Electric,1,422.0,0.43364928909952605
313,Grass,Electric,1,459.0,0.3333333333333333
314,Rock,Rock,0,157.0,1.0
315,Psychic,Psychic,1,259.0,1.0
316,Water,Ice,0,445.0,0.5280898876404494
317,Fire,Normal,0,861.0,0.5412311265969802
318,Ground,Normal,1,472.0,0.4894067796610169
319,Ice,Water,0,445.0,0.47191011235955055
320,Poison,Dragon,0,173.0,0.31213872832369943
321,Normal,Dark,0,495.0,0.45252525252525255
322,Electric,Normal,0,676.0,0.6183431952662722
323,Ghost,Normal,0,484.0,0.506198347107438
324,Dragon,Water,0,584.0,0.7157534246575342
325,Water,Water,1,971.0,1.0
326,Dragon,Water,1,584.0,0.7157534246575342
327,Rock,Dark,0,246.0,0.26422764227642276
328,Dark,Steel,1,153.0,0.673202614379085
329,Water,Grass,1,1208.0,0.5016556291390728
330,Rock,Grass,0,482.0,0.4315352697095436
331,Grass,Ghost,0,351.0,0.5071225071225072
332,Grass,Psychic,0,632.0,0.37341772151898733
333,Dark,Rock,1,246.0,0.7357723577235772
334,Ice,Fairy,1,60.0,0.6
335,Bug,Poison,0,324.0,0.4660493827160494
336,Electric,Psychic,0,422.0,0.566350710900474
337,Grass,Normal,1,984.0,0.39939024390243905
338,Dark,Grass,1,332.0,0.7228915662650602
339,Psychic,Normal,0,811.0,0.5474722564734895
340,Dark,Normal,1,495.0,0.5474747474747474
341,Grass,Fire,0,547.0,0.2961608775137112
342,Grass,Fire,0,547.0,0.2961608775137112
343,Dark,Normal,1,495.0,0.5474747474747474
344,Electric,Dark,0,210.0,0.5523809523809524
345,Water,Dragon,0,584.0,0.2842465753424658
346,Poison,Psychic,0,270.0,0.3888888888888889
347,Electric,Ice,1,163.0,0.7116564417177914
348,Water,Normal,0,1702.0,0.39424206815511165
349,Electric,Electric,1,134.0,1.0
350,Water,Normal,0,1702.0,0.39424206815511165
351,Ice,Steel,0,119.0,0.47058823529411764
352,Water,Bug,0,1204.0,0.5390365448504983
353,Fairy,Electric,0,132.0,0.18181818181818182
354,Psychic,Grass,0,632.0,0.6265822784810127
355,Water,Poison,0,518.0,0.5463320463320464
356,Poison,Normal,0,432.0,0.3611111111111111
357,Bug,Bug,0,386.0,1.0
358,Psychic,Grass,1,632.0,0.6265822784810127
359,Grass,Water,1,1208.0,0.49834437086092714
360,Water,Steel,1,497.0,0.6177062374245473
361,Grass,Fire,0,547.0,0.2961608775137112
362,Electric,Electric,1,134.0,1.0
363,Poison,Poison,1,74.0,1.0
364,Bug,Ice,0,295.0,0.488135593220339
365,Bug,Fire,0,599.0,0.330550918196995
366,Water,Ice,0,445.0,0.5280898876404494
367,Dragon,Bug,0,342.0,0.716374269005848
368,Bug,Fighting,0,271.0,0.4280442804428044
369,Normal,Ground,1,472.0,0.510593220338983
370,Bug,Steel,0,289.0,0.47058823529411764
371,Grass,Normal,1,984.0,0.39939024390243905
372,Poison,Psychic,0,270.0,0.3888888888888889
373,Grass,Fire,0,547.0,0.2961608775137112
374,Bug,Normal,0,1066.0,0.38649155722326456
375,Dragon,Poison,0,173.0,0.6878612716763006
376,Ground,Fire,1,266.0,0.48120300751879697
377,Grass,Water,0,1208.0,0.49834437086092714
378,Steel,Grass,0,274.0,0.49635036496350365
379,Psychic,Rock,0,445.0,0.6292134831460674
380,Rock,Fire,0,358.0,0.39664804469273746
381,Fairy,Bug,1,190.0,0.3894736842105263
382,Bug,Normal,0,1066.0,0.38649155722326456
383,Psychic,Water,1,1086.0,0.6160220994475138
384,Water,Dragon,0,584.0,0.2842465753424658
385,Psychic,Water,1,1086.0,0.6160220994475138
386,Dragon,Grass,1,313.0,0.6900958466453674
387,Grass,Bug,1,764.0,0.4816753926701571
388,Bug,Normal,1,1066.0,0.38649155722326456
389,Psychic,Fire,1,448.0,0.5200892857142857
390,Ground,Water,0,571.0,0.5306479859894921
391,Fairy,Grass,0,203.0,0.29064039408866993
392,Water,Ice,0,445.0,0.5280898876404494
393,Psychic,Water,1,1086.0,0.6160220994475138
394,Poison,Electric,1,201.0,0.27860696517412936
395,Psychic,Normal,0,811.0,0.5474722564734895
396,Steel,Poison,0,120.0,0.7583333333333333
397,Grass,Psychic,1,632.0,0.37341772151898733
398,Water,Fire,1,931.0,0.41568206229860366
399,Bug,Bug,0,386.0,1.0
400,Fighting,Electric,0,179.0,0.3128491620111732
401,Bug,Ice,0,295.0,0.488135593220339
402,Fire,Grass,1,547.0,0.7038391224862889
403,Ghost,Bug,1,356.0,0.5449438202247191
404,Dark,Fighting,0,103.0,0.5048543689320388
405,Electric,Grass,1,459.0,0.6666666666666666
406,Normal,Rock,0,682.0,0.6055718475073314
407,Water,Water,1,971.0,1.0
408,Ground,Fairy,1,82.0,0.7073170731707317
409,Water,Ice,0,445.0,0.5280898876404494
410,Water,Dragon,0,584.0,0.2842465753424658
411,Normal,Ground,0,472.0,0.510593220338983
412,Ground,Rock,0,229.0,0.6419213973799127
413,Bug,Water,1,1204.0,0.46096345514950166
414,Bug,Ice,0,295.0,0.488135593220339
415,Rock,Fire,0,358.0,0.39664804469273746
416,Electric,Ghost,1,214.0,0.7616822429906542
417,Rock,Grass,0,482.0,0.4315352697095436
418,Water,Fire,1,931.0,0.41568206229860366
419,Normal,Fairy,1,247.0,0.757085020242915
420,Fire,Normal,1,861.0,0.5412311265969802
421,Fairy,Ice,1,60.0,0.4
422,Normal,Ground,1,472.0,0.510593220338983
423,Fire,Water,1,931.0,0.5843179377013964
424,Dark,Grass,0,332.0,0.7228915662650602
425,Fire,Fire,1,215.0,1.0
426,Grass,Bug,0,764.0,0.4816753926701571
427,Fighting,Water,1,472.0,0.4533898305084746
428,Grass,Electric,0,459.0,0.3333333333333333
429,Dark,Grass,1,332.0,0.7228915662650602
430,Bug,Ground,0,335.0,0.47761194029850745
431,Dragon,Fire,1,252.0,0.5674603174603174
432,Ghost,Water,1,500.0,0.468
433,Poison,Fighting,0,133.0,0.43609022556390975
434,Grass,Poison,1,301.0,0.43521594684385384
435,Fighting,Ground,0,124.0,0.49193548387096775
436,Water,Water,1,971.0,1.0
437,Normal,Ghost,0,484.0,0.493801652892562
438,Fighting,Ice,1,93.0,0.5913978494623656
439,Bug,Electric,1,473.0,0.266384778012685
440,Rock,Fighting,0,194.0,0.31958762886597936
441,Rock,Ground,0,229.0,0.35807860262008734
442,Fire,Grass,1,547.0,0.7038391224862889
443,Ghost,Ground,1,159.0,0.46540880503144655
444,Bug,Bug,0,386.0,1.0
445,Normal,Water,1,1702.0,0.6057579318448884
446,Normal,Fairy,1,247.0,0.757085020242915
447,Fire,Rock,1,358.0,0.6033519553072626
448,Steel,Ghost,1,158.0,0.44936708860759494
449,Dragon,Fire,1,252.0,0.5674603174603174
450,Grass,Water,1,1208.0,0.49834437086092714
451,Water,Dragon,1,584.0,0.2842465753424658
452,Normal,Psychic,0,811.0,0.4525277435265105
453,Fire,Grass,1,547.0,0.7038391224862889
454,Ice,Water,1,445.0,0.47191011235955055
455,Normal,Flying,0,61.0,0.2786885245901639
456,Water,Bug,1,1204.0,0.5390365448504983
457,Water,Ground,0,571.0,0.46935201401050786
458,Steel,Grass,1,274.0,0.49635036496350365
459,Water,Water,1,971.0,1.0
460,Psychic,Normal,1,811.0,0.5474722564734895
461,Dark,Dark,1,74.0,1.0
462,Grass,Poison,0,301.0,0.43521594684385384
463,Water,Normal,0,1702.0,0.39424206815511165
464,Bug,Grass,1,764.0,0.518324607329843
465,Poison,Fire,0,225.0,0.3288888888888889
466,Steel,Grass,1,274.0,0.49635036496350365
467,Fire,Electric,0,327.0,0.40061162079510704
468,Fighting,Steel,1,116.0,0.603448275862069
469,Water,Normal,0,1702.0,0.39424206815511165
470,Ghost,Bug,1,356.0,0.5449438202247191
471,Water,Fire,1,931.0,0.41568206229860366
472,Dark,Dragon,0,149.0,0.5167785234899329
473,Dark,Steel,1,153.0,0.673202614379085
474,Water,Bug,0,1204.0,0.5390365448504983
475,Poison,Normal,1,432.0,0.3611111111111111
476,Electric,Fire,0,327.0,0.599388379204893
477,Psychic,Fighting,1,236.0,0.6313559322033898
478,Poison,Grass,0,301.0,0.5647840531561462
479,Poison,Poison,0,74.0,1.0
480,Water,Grass,1,1208.0,0.5016556291390728
481,Grass,Bug,0,764.0,0.4816753926701571
482,Steel,Grass,1,274.0,0.49635036496350365
483,Bug,Rock,0,487.0,0.45790554414784396
484,Electric,Fire,1,327.0,0.599388379204893
485,Rock,Water,1,759.0,0.40974967061923584
486,Ice,Normal,0,365.0,0.39452054794520547
487,Dark,Normal,0,495.0,0.5474747474747474
488,Psychic,Grass,1,632.0,0.6265822784810127
489,Psychic,Dragon,1,276.0,0.463768115942029
490,Psychic,Normal,0,811.0,0.5474722564734895
491,Water,Water,1,971.0,1.0
492,Normal,Normal,1,708.0,1.0
493,Fairy,Bug,1,190.0,0.3894736842105263
494,Normal,Grass,1,984.0,0.600609756097561
495,Dragon,Electric,1,178.0,0.5449438202247191
496,Normal,Water,1,1702.0,0.6057579318448884
497,Bug,Fairy,0,190.0,0.6105263157894737
498,Electric,Rock,1,286.0,0.7132867132867133
499,Water,Water,1,971.0,1.0
500,Normal,Steel,0,422.0,0.5781990521327014
501,Steel,Dark,0,153.0,0.32679738562091504
502,Water,Water,1,971.0,1.0
503,Dragon,Water,1,584.0,0.7157534246575342
504,Rock,Water,0,759.0,0.40974967061923584
505,Normal,Fire,0,861.0,0.45876887340301975
506,Normal,Water,0,1702.0,0.6057579318448884
507,Ground,Grass,1,318.0,0.5094339622641509
508,Bug,Electric,1,473.0,0.266384778012685
509,Bug,Normal,1,1066.0,0.38649155722326456
510,Water,Dragon,0,584.0,0.2842465753424658
511,Ground,Water,0,571.0,0.5306479859894921
512,Psychic,Psychic,0,259.0,1.0
513,Ground,Electric,1,218.0,0.9036697247706422
514,Steel,Water,0,497.0,0.3822937625754527
515,Dark,Water,0,520.0,0.6442307692307693
516,Dragon,Fire,1,252.0,0.5674603174603174
517,Dragon,Normal,1,479.0,0.5741127348643006
518,Electric,Grass,0,459.0,0.6666666666666666
519,Psychic,Dark,0,291.0,0.054982817869415807
520,Water,Rock,1,759.0,0.5902503293807642
521,Bug,Fighting,0,271.0,0.4280442804428044
522,Water,Electric,0,713.0,0.3015427769985975
523,Psychic,Ice,1,224.0,0.625
524,Dragon,Ground,1,137.0,0.6934306569343066
525,Electric,Ground,0,218.0,0.0963302752293578
526,Bug,Rock,1,487.0,0.45790554414784396
527,Psychic,Dragon,0,276.0,0.463768115942029
528,Normal,Dragon,0,479.0,0.42588726513569936
529,Fire,Psychic,1,448.0,0.4799107142857143
530,Ghost,Normal,0,484.0,0.506198347107438
531,Water,Ground,0,571.0,0.46935201401050786
532,Dragon,Fire,0,252.0,0.5674603174603174
533,Dark,Bug,1,309.0,0.6375404530744336
534,Psychic,Electric,0,422.0,0.43364928909952605
535,Normal,Steel,0,422.0,0.5781990521327014
536,Fighting,Ground,0,124.0,0.49193548387096775
537,Water,Rock,1,759.0,0.5902503293807642
538,Ice,Dragon,1,116.0,0.3103448275862069
539,Grass,Ghost,0,351.0,0.5071225071225072
540,Normal,Fairy,1,247.0,0.757085020242915
541,Dragon,Normal,0,479.0,0.5741127348643006
542,Ground,Water,0,571.0,0.5306479859894921
543,Dark,Fire,0,249.0,0.5100401606425703
544,Psychic,Water,1,1086.0,0.6160220994475138
545,Ground,Normal,0,472.0,0.4894067796610169
546,Water,Dragon,0,584.0,0.2842465753424658
547,Ground,Normal,0,472.0,0.4894067796610169
548,Electric,Water,1,713.0,0.6984572230014026
549,Steel,Normal,1,422.0,0.4218009478672986
550,Fighting,Fire,0,216.0,0.35185185185185186
551,Bug,Dragon,0,342.0,0.28362573099415206
552,Electric,Fire,0,327.0,0.599388379204893
553,Ground,Electric,0,218.0,0.9036697247706422
554,Bug,Grass,0,764.0,0.518324607329843
555,Water,Water,1,971.0,1.0
556,Normal,Bug,0,1066.0,0.6135084427767354
557,Water,Grass,0,1208.0,0.5016556291390728
558,Poison,Ice,1,99.0,0.5050505050505051
559,Rock,Electric,1,286.0,0.2867132867132867
560,Normal,Normal,0,708.0,1.0
561,Electric,Steel,0,211.0,0.7109004739336493
562,Rock,Fire,1,358.0,0.39664804469273746
563,Rock,Psychic,1,445.0,0.3707865168539326
564,Rock,Normal,0,682.0,0.3944281524926686
565,Bug,Water,0,1204.0,0.46096345514950166
