,dif_hp,dif_atk,dif_def,dif_spatk,dif_spdef,dif_sp,winner,nbrContre,probWinParType
46,-6,14,11,-9,34,-26,0,547.0,0.2961608775137112
47,-20,64,85,30,60,36,1,984.0,0.3993902439024391
48,-110,-55,170,-100,135,-60,0,1204.0,0.4609634551495017
49,-31,-10,-40,-67,-30,-68,0,1208.0,0.4983443708609272
50,-15,-33,81,-28,33,-53,0,358.0,0.3966480446927375
51,46,40,50,4,50,70,0,279.0,0.5519713261648745
52,-1,78,68,1,1,61,1,82.0,0.7073170731707317
53,2,-40,-33,35,5,27,1,123.0,0.4959349593495935
54,-30,25,-10,-60,-40,-20,0,318.0,0.5094339622641509
55,-12,-36,-27,-20,-25,-6,0,196.0,0.6836734693877551
56,20,5,-37,-35,-37,-16,0,676.0,0.3816568047337278
57,-21,-95,-10,-13,-20,-38,0,342.0,0.2836257309941521
58,7,18,-43,-14,25,17,1,1208.0,0.5016556291390728
59,-21,-10,-3,3,-12,23,1,244.0,0.5819672131147541
60,-3,-52,2,-12,72,2,1,1086.0,0.3839779005524862
61,-13,29,-15,39,-40,5,1,249.0,0.5100401606425703
62,49,79,30,7,20,7,1,270.0,0.562962962962963
63,-21,-2,12,-30,-6,27,1,324.0,0.4660493827160494
64,-32,20,-15,-25,-15,16,1,1702.0,0.6057579318448884
65,7,-27,-31,38,35,53,1,445.0,0.6292134831460674
66,50,100,55,75,30,45,1,713.0,0.3015427769985975
67,-15,-30,5,-5,-30,15,1,1208.0,0.5016556291390728
68,-11,-47,10,11,10,-28,0,482.0,0.5684647302904564
69,-9,-70,-16,15,-73,-21,0,103.0,0.5048543689320388
70,-58,-74,152,-99,145,-95,0,599.0,0.330550918196995
71,-9,-16,-23,54,19,70,1,1086.0,0.6160220994475138
72,-26,-10,16,-86,11,-80,0,354.0,1.0
73,-11,13,-45,13,-45,-7,0,332.0,0.7228915662650602
74,44,68,23,35,15,10,1,173.0,0.6878612716763006
75,-90,30,34,5,34,10,1,713.0,0.6984572230014026
76,-50,-15,-10,-25,-35,-40,0,497.0,0.3822937625754527
77,-5,25,-53,3,-50,35,1,632.0,0.6265822784810127
78,-54,-26,12,-1,12,37,1,1702.0,0.3942420681551117
79,25,45,10,-50,-30,-10,0,479.0,0.42588726513569936
80,0,-50,-13,-65,-3,-85,0,764.0,0.518324607329843
81,0,-17,15,1,-5,-22,0,472.0,0.5105932203389829
82,20,7,12,48,8,-10,0,1702.0,0.6057579318448884
83,-5,-35,-57,-40,-57,-41,0,422.0,0.4336492890995261
84,-50,-52,-32,-35,-15,-21,0,149.0,0.6174496644295302
85,8,-21,-67,-5,-50,60,0,249.0,0.4899598393574297
86,-25,-27,-35,-78,-10,-5,0,599.0,0.330550918196995
87,-30,-78,-13,-38,57,-51,0,931.0,0.4156820622986037
88,105,20,-35,55,-35,45,1,83.0,1.0
89,-3,-41,16,24,36,-32,0,289.0,0.5294117647058824
90,-50,20,-40,-20,-90,-5,0,74.0,1.0
91,-16,-50,-10,-18,2,-5,0,289.0,0.5501730103806228
92,-8,-11,44,56,21,-66,0,327.0,0.599388379204893
93,8,30,12,33,24,25,1,149.0,0.4832214765100672
94,-65,-35,-15,0,-60,-50,0,759.0,0.40974967061923584
95,-47,-71,-46,-14,-46,-47,0,358.0,0.6033519553072626
96,-25,15,25,-30,-55,-45,0,1204.0,0.4609634551495017
97,-31,-45,-36,-12,-36,-31,0,599.0,0.669449081803005
98,-10,25,-25,25,-40,15,1,1702.0,0.3942420681551117
99,-5,10,20,57,40,83,1,19.0,0.8947368421052632
100,-20,-23,10,-23,-20,16,1,1208.0,0.4983443708609272
101,-12,-14,8,-14,11,-55,0,1204.0,0.5390365448504983
102,5,-53,5,12,5,55,1,335.0,0.4776119402985074
103,-37,-44,-33,-27,-31,-24,0,225.0,0.6711111111111111
104,-15,-50,-55,-25,-15,0,0,479.0,0.42588726513569936
105,50,65,-4,-35,11,70,1,676.0,0.3816568047337278
106,-35,-50,-25,25,-55,40,1,276.0,0.463768115942029
107,-30,-45,-10,15,-5,5,1,225.0,0.3288888888888889
108,-21,12,-17,-35,-10,10,1,244.0,0.6434426229508197
109,-24,-29,-5,36,33,-1,0,247.0,0.242914979757085
110,10,-14,-40,11,-35,9,1,473.0,0.733615221987315
111,-17,-20,-25,5,-35,2,1,479.0,0.5741127348643006
112,30,10,30,-10,-5,-50,0,163.0,0.2883435582822086
113,25,65,10,30,40,65,1,270.0,0.562962962962963
114,21,35,60,95,40,19,1,422.0,0.4218009478672986
115,65,45,-11,5,55,26,1,759.0,0.5902503293807642
116,10,-65,-3,5,-55,-42,0,271.0,0.4280442804428044
117,5,-43,12,-9,17,-47,0,260.0,0.25384615384615383
118,14,-5,155,5,15,-130,0,289.0,0.5294117647058824
119,-20,10,0,-60,-20,-30,0,244.0,0.4180327868852459
120,15,23,-12,20,0,19,1,301.0,0.43521594684385373
121,30,40,75,-15,-50,-70,1,448.0,0.4799107142857143
122,-10,10,15,75,10,60,1,208.0,0.6153846153846154
123,10,20,45,-65,-30,5,1,301.0,0.5647840531561462
124,-30,30,0,-55,0,11,1,472.0,0.4533898305084746
125,-56,0,20,-10,15,11,1,708.0,1.0
126,-35,20,-35,-35,-35,-70,0,571.0,0.5306479859894921
127,-10,-60,20,30,-10,-40,0,1204.0,0.5390365448504983
128,25,10,-15,70,50,20,1,274.0,0.5036496350364964
129,-32,-29,3,10,10,25,1,215.0,1.0
130,6,0,23,3,-5,5,1,520.0,0.6442307692307693
131,3,44,23,60,20,5,1,861.0,0.5412311265969802
132,-25,-20,-10,-10,-20,-70,0,487.0,0.457905544147844
133,-15,-7,-63,-57,-73,40,0,484.0,0.493801652892562
134,5,45,50,35,45,10,1,194.0,0.31958762886597936
135,-36,-30,-20,-5,-79,-50,0,215.0,1.0
136,25,30,10,15,0,55,1,984.0,0.6006097560975611
137,17,-5,13,8,9,-3,0,196.0,0.6836734693877551
138,12,80,20,-20,-50,-22,0,584.0,0.7157534246575342
139,10,35,72,55,37,31,1,459.0,0.6666666666666666
140,33,-7,25,-17,25,-64,0,1086.0,0.3839779005524862
141,10,74,55,39,10,7,1,1086.0,0.3839779005524862
142,-45,0,-20,-28,0,50,0,571.0,0.5306479859894921
143,-5,-35,-70,-45,-15,-15,0,324.0,0.4660493827160494
144,-20,15,-14,52,-35,29,1,759.0,0.40974967061923584
145,77,0,72,25,70,47,1,289.0,0.5501730103806228
146,-75,25,-70,-35,-80,-10,0,445.0,0.3707865168539326
147,-23,-10,-5,-125,-105,-50,0,276.0,0.5362318840579711
148,-30,22,50,-5,15,25,1,358.0,0.3966480446927375
149,-32,-69,-45,30,15,19,1,445.0,0.6292134831460674
150,5,20,50,85,0,-35,1,713.0,0.6984572230014026
151,0,-35,-5,-50,-25,-65,0,473.0,0.266384778012685
152,3,4,18,44,-5,-2,0,861.0,0.5412311265969802
153,0,-5,-20,10,0,-70,0,473.0,0.266384778012685
154,5,43,47,78,77,57,1,473.0,0.733615221987315
155,-5,40,5,40,-10,10,1,931.0,0.5843179377013964
156,-15,-47,-13,-12,22,-3,0,713.0,0.6984572230014026
157,-11,-41,35,-119,-35,-84,0,632.0,0.3734177215189873
158,0,0,20,50,45,5,0,291.0,0.054982817869415807
159,-26,-98,-35,-93,-65,-70,0,386.0,1.0
160,21,4,-30,16,-15,9,1,351.0,0.5071225071225072
161,45,20,-22,55,40,25,1,82.0,0.2926829268292683
162,44,15,30,15,50,-110,1,324.0,0.5339506172839507
163,0,-30,20,20,120,-30,0,47.0,1.0
164,-27,3,-23,-34,-29,29,1,99.0,0.5050505050505051
165,-10,-50,-20,35,-10,-30,0,482.0,0.5684647302904564
166,20,36,-30,-9,-20,94,1,487.0,0.5420944558521561
167,-10,-40,-61,-42,-38,-20,0,764.0,0.518324607329843
168,20,20,36,40,26,0,0,270.0,0.6111111111111112
169,100,36,70,55,70,49,1,208.0,0.6153846153846154
170,30,35,10,-50,10,-75,0,713.0,0.3015427769985975
171,7,30,13,-45,30,0,0,1066.0,0.38649155722326456
172,-35,-110,-30,-110,-30,-45,0,479.0,0.42588726513569936
173,12,18,-5,26,15,19,1,153.0,0.6862745098039216
174,55,-5,-40,-90,-25,-105,1,479.0,0.42588726513569936
175,10,34,20,-30,15,-29,0,358.0,0.3966480446927375
176,15,-30,-21,35,9,35,1,131.0,0.8625954198473282
177,15,24,46,91,34,40,1,495.0,0.5474747474747474
178,5,-70,-72,-38,-25,-44,0,500.0,0.532
179,-18,9,-1,-14,51,-86,0,861.0,0.4587688734030198
180,-70,-50,-40,-45,0,5,1,422.0,0.4336492890995261
181,5,40,26,10,36,8,1,270.0,0.3888888888888889
182,-38,-68,-28,-25,-30,-46,0,173.0,0.31213872832369943
183,-15,30,-15,-25,5,-5,0,125.0,0.664
184,-5,19,-5,-8,-35,1,1,1086.0,0.3839779005524862
185,28,19,-1,50,26,23,1,599.0,0.669449081803005
186,34,80,10,25,40,45,1,386.0,1.0
187,35,100,80,-5,-55,-5,0,759.0,0.40974967061923584
188,20,40,-2,-55,-67,-66,1,286.0,0.2867132867132867
189,32,2,12,-4,-22,-77,0,124.0,0.4919354838709678
190,-9,6,32,-55,-35,-58,0,599.0,0.330550918196995
191,6,-12,18,45,19,19,1,713.0,0.3015427769985975
192,47,99,67,59,44,50,1,584.0,0.7157534246575342
193,-85,-10,-55,-39,-59,10,0,484.0,0.493801652892562
194,33,-20,-75,-30,-80,51,1,682.0,0.6055718475073314
195,-10,20,-5,-60,-40,-70,0,473.0,0.266384778012685
196,-7,-30,5,60,55,-35,0,811.0,0.5474722564734895
197,5,-25,5,20,10,50,1,134.0,1.0
198,11,-45,-90,45,26,55,0,289.0,0.4705882352941176
199,17,69,12,-16,29,85,1,520.0,0.6442307692307693
200,-38,-56,-35,-23,-12,-54,0,358.0,0.3966480446927375
201,10,-20,-13,-100,25,-27,0,271.0,0.4280442804428044
202,11,22,-5,-33,-10,4,1,811.0,0.4525277435265105
203,30,10,-20,-30,5,-35,0,518.0,0.4536679536679537
204,-80,-115,25,-35,-20,-70,0,682.0,0.3944281524926686
205,56,52,60,60,-14,7,1,1208.0,0.4983443708609272
206,25,66,35,-9,-15,-11,0,487.0,0.5420944558521561
207,-27,-50,8,-45,20,-57,0,500.0,0.46799999999999997
208,-10,-50,5,25,15,-10,0,62.0,0.5483870967741935
209,12,-37,0,43,0,67,1,646.0,0.5758513931888545
210,4,-45,35,-45,35,-4,0,646.0,0.5758513931888545
211,41,39,36,39,36,43,1,931.0,0.5843179377013964
212,23,8,43,91,39,15,1,182.0,0.489010989010989
213,-15,-35,-45,-150,-75,-85,0,356.0,0.4550561797752809
214,36,-39,-13,6,42,-32,0,157.0,1.0
215,10,-10,10,55,55,35,1,159.0,0.4654088050314466
216,10,40,45,5,15,25,1,386.0,1.0
217,16,55,23,30,-23,-12,0,142.0,0.7816901408450704
218,21,111,65,5,55,40,0,335.0,0.4776119402985074
219,20,15,-49,60,-29,18,1,386.0,1.0
220,-35,-35,-35,-50,-25,-75,0,225.0,0.3288888888888889
221,-20,-75,-57,-15,-32,-23,0,1066.0,0.6135084427767354
222,-15,-32,-13,-4,9,10,1,472.0,0.5466101694915254
223,40,-13,-25,55,30,48,1,971.0,1.0
224,-70,-78,-30,-60,-25,25,0,861.0,0.4587688734030198
225,-60,12,0,-13,-35,43,1,1204.0,0.4609634551495017
226,-20,-2,85,32,40,7,1,62.0,0.5483870967741935
227,35,35,95,14,44,25,1,472.0,0.4894067796610169
228,-24,51,51,41,44,19,1,142.0,0.6690140845070423
229,-54,-28,-23,-32,-12,-1,0,984.0,0.6006097560975611
230,33,-45,21,30,86,30,1,682.0,0.6055718475073314
231,5,-3,-25,72,25,5,1,482.0,0.5684647302904564
232,-15,-70,-70,35,-15,0,0,472.0,0.5105932203389829
233,10,-7,-88,78,-18,75,1,445.0,0.6292134831460674
234,-3,55,9,75,9,15,1,811.0,0.5474722564734895
235,80,33,-7,43,-7,30,1,145.0,0.42758620689655175
236,25,16,-10,2,0,-3,0,1702.0,0.6057579318448884
237,4,-44,-5,-7,-25,-73,0,759.0,0.5902503293807642
238,0,-30,5,0,-45,40,1,443.0,0.4401805869074492
239,5,35,20,-40,-70,-60,0,472.0,0.4533898305084746
240,-11,25,77,-34,33,-7,0,484.0,0.506198347107438
241,60,150,128,100,38,25,1,335.0,0.5223880597014925
242,-22,-13,-25,-25,-21,-14,0,861.0,0.4587688734030198
243,-10,19,35,24,55,11,1,295.0,0.48813559322033895
244,-28,0,5,80,35,8,1,75.0,1.0
245,34,-66,-34,38,36,-42,0,445.0,0.6292134831460674
246,10,10,-55,15,25,60,1,194.0,0.6804123711340206
247,-25,5,-45,-25,50,30,1,271.0,0.5719557195571956
248,45,60,23,32,65,45,1,482.0,0.5684647302904564
249,80,10,-80,60,40,40,1,158.0,0.5506329113924051
250,-70,-130,-78,-30,-58,-35,0,1066.0,0.38649155722326456
251,55,10,80,30,100,5,1,495.0,0.5474747474747474
252,10,23,18,-2,18,-21,0,971.0,1.0
253,14,0,-20,-5,-30,36,1,295.0,0.48813559322033895
254,-47,-36,-74,-34,-24,4,1,682.0,0.6055718475073314
255,4,18,19,5,70,19,1,123.0,0.3252032520325203
256,15,25,50,-5,65,0,0,259.0,1.0
257,35,60,40,-5,40,30,1,365.0,0.6054794520547945
258,-154,17,-8,32,2,11,1,224.0,0.375
259,-34,-50,-60,-134,-60,-105,0,236.0,0.3686440677966102
260,-66,-155,-70,-134,-80,-80,0,646.0,0.4241486068111455
261,56,52,25,89,25,88,1,321.0,0.6884735202492211
262,40,0,35,60,20,-70,1,318.0,0.490566037735849
263,-37,-45,-11,15,-11,-45,0,599.0,0.669449081803005
264,-33,-33,-18,-20,-38,15,1,365.0,0.6054794520547945
265,1,6,33,-51,-21,-69,0,445.0,0.4719101123595506
266,9,-30,-15,10,15,11,1,342.0,0.716374269005848
267,10,-25,42,-85,-5,-67,0,194.0,0.31958762886597936
268,-5,-20,-20,10,-10,0,0,861.0,0.4587688734030198
269,40,65,28,0,65,-8,0,124.0,0.4919354838709678
270,35,15,15,35,45,35,1,259.0,1.0
271,10,5,-27,-55,-22,-46,0,473.0,0.266384778012685
272,-30,-45,47,-45,-23,16,1,422.0,0.566350710900474
273,-18,71,69,-7,-37,1,1,682.0,0.3944281524926686
274,-10,-24,-17,-69,-30,-59,0,931.0,0.4156820622986037
275,44,22,69,3,43,14,1,252.0,0.5674603174603174
276,30,-15,-10,-40,-35,-90,0,811.0,0.4525277435265105
277,-52,-25,-25,25,15,10,1,274.0,0.4963503649635037
278,55,119,115,75,90,51,1,487.0,0.5420944558521561
279,37,45,15,-2,10,0,0,271.0,0.5719557195571956
280,-15,10,-10,-55,-10,-20,0,422.0,0.5781990521327014
281,12,5,14,-5,-16,-45,0,1066.0,0.38649155722326456
282,27,40,50,70,98,9,1,324.0,0.5339506172839507
283,18,37,18,-28,13,-32,0,289.0,0.5501730103806228
284,-20,0,-35,25,15,10,1,1086.0,0.6160220994475138
285,61,100,15,119,55,110,1,632.0,0.6265822784810127
286,-30,-10,50,-10,-90,0,0,203.0,0.7093596059113301
287,15,-25,40,-20,-5,-30,0,682.0,0.6055718475073314
288,10,85,180,-70,35,0,0,279.0,0.4480286738351255
289,20,15,0,-115,-40,-40,0,484.0,0.493801652892562
290,2,-33,5,-13,50,-18,0,270.0,0.6111111111111112
291,-35,-47,-15,60,35,-2,0,318.0,0.490566037735849
292,-45,25,20,-40,-50,-40,0,518.0,0.5463320463320464
293,-70,-90,-20,12,-5,-28,0,266.0,0.5187969924812029
294,40,23,-105,0,-105,-35,0,448.0,0.4799107142857143
295,23,30,12,-43,29,-41,0,971.0,1.0
296,26,15,5,62,12,41,1,365.0,0.6054794520547945
297,6,-10,-35,-43,-38,-44,0,676.0,0.3816568047337278
298,65,11,13,41,21,-3,0,971.0,1.0
299,35,32,40,60,62,18,1,984.0,0.3993902439024391
300,-12,-15,35,-28,-7,5,1,432.0,0.3611111111111111
301,56,27,-70,99,45,38,1,759.0,0.5902503293807642
302,15,-10,47,-87,-10,-91,0,351.0,0.4928774928774929
303,0,14,35,-11,25,-34,0,386.0,1.0
304,-80,10,10,10,-5,120,1,1086.0,0.6160220994475138
305,15,7,9,34,20,44,1,547.0,0.7038391224862889
306,30,35,-37,-45,-37,9,1,676.0,0.3816568047337278
307,15,70,60,25,15,25,1,1086.0,0.3839779005524862
308,27,84,32,9,39,110,1,759.0,0.40974967061923584
309,-28,-125,1,10,-39,-120,0,386.0,1.0
310,5,-25,5,15,40,10,1,260.0,0.7461538461538462
311,-63,23,13,-19,-7,42,1,194.0,0.6804123711340206
312,36,7,32,29,67,10,1,422.0,0.4336492890995261
313,15,30,25,10,20,-90,1,459.0,0.3333333333333333
314,-42,-25,-25,1,-41,-13,0,157.0,1.0
315,30,165,55,87,45,106,1,259.0,1.0
316,-6,-15,-5,-51,-32,-21,0,445.0,0.5280898876404494
317,11,34,11,39,6,-7,0,861.0,0.5412311265969802
318,40,42,30,25,30,12,1,472.0,0.4894067796610169
319,0,4,-10,-63,-10,-57,0,445.0,0.4719101123595506
320,-32,-69,-60,-99,-80,-60,0,173.0,0.31213872832369943
321,0,0,27,-25,27,-14,0,495.0,0.4525252525252526
322,15,-5,25,60,30,-15,0,676.0,0.6183431952662722
323,4,30,-5,28,-2,-11,0,484.0,0.506198347107438
324,10,11,-5,-54,-25,-2,0,584.0,0.7157534246575342
325,6,54,-28,14,-36,45,1,971.0,1.0
326,35,95,80,60,20,70,1,584.0,0.7157534246575342
327,39,70,93,5,28,-21,0,246.0,0.2642276422764228
328,35,35,10,105,30,85,1,153.0,0.673202614379085
329,5,30,14,-26,-2,13,1,1208.0,0.5016556291390728
330,48,-21,9,1,29,-43,0,482.0,0.4315352697095436
331,-15,30,51,50,46,-20,0,351.0,0.5071225071225072
332,-45,-43,-35,-23,-45,-12,0,632.0,0.3734177215189873
333,-7,31,40,68,27,79,1,246.0,0.7357723577235772
334,32,65,12,-42,-94,5,1,60.0,0.6
335,5,5,12,-17,-21,-4,0,324.0,0.4660493827160494
336,-15,-45,0,-40,-35,60,0,422.0,0.566350710900474
337,-40,53,43,53,38,81,1,984.0,0.3993902439024391
338,-25,-15,-11,-12,-20,14,1,332.0,0.7228915662650602
339,0,-15,5,34,9,-5,0,811.0,0.5474722564734895
340,-14,15,-10,45,10,34,1,495.0,0.5474747474747474
341,10,-68,-5,-38,5,-40,0,547.0,0.2961608775137112
342,22,33,30,-6,-15,-44,0,547.0,0.2961608775137112
343,66,71,35,71,38,39,1,495.0,0.5474747474747474
344,4,-17,-3,47,15,-18,0,210.0,0.5523809523809524
345,-19,-97,-82,-63,-28,-86,0,584.0,0.2842465753424658
346,-26,-95,-18,-94,-18,-55,0,270.0,0.3888888888888889
347,-15,3,-105,51,33,42,1,163.0,0.7116564417177914
348,55,30,55,35,35,-25,0,1702.0,0.3942420681551117
349,22,-2,25,31,35,25,1,134.0,1.0
350,-10,34,45,29,10,-63,0,1702.0,0.3942420681551117
351,30,-55,-40,0,0,-5,0,119.0,0.4705882352941176
352,-15,25,35,-45,-5,-60,0,1204.0,0.5390365448504983
353,-12,-23,-25,-52,-25,-32,0,132.0,0.18181818181818185
354,41,-34,0,52,30,-7,0,632.0,0.6265822784810127
355,-26,-57,-32,-60,-50,-70,0,518.0,0.5463320463320464
356,-54,-20,-37,-88,-88,-40,0,432.0,0.3611111111111111
357,5,-4,5,-4,-20,-1,0,386.0,1.0
358,-48,-25,68,-22,49,27,1,632.0,0.6265822784810127
359,17,-18,-61,7,64,76,1,1208.0,0.4983443708609272
360,-5,29,5,39,-5,2,1,497.0,0.6177062374245473
361,35,5,68,10,-35,-43,0,547.0,0.2961608775137112
362,35,10,0,-50,35,50,1,134.0,1.0
363,43,56,-25,56,10,20,1,74.0,1.0
364,9,3,20,-25,0,-2,0,295.0,0.48813559322033895
365,10,-26,30,14,40,-54,0,599.0,0.330550918196995
366,-30,-50,0,10,20,0,0,445.0,0.5280898876404494
367,14,44,14,34,64,-5,0,342.0,0.716374269005848
368,5,-50,0,-15,-25,-25,0,271.0,0.4280442804428044
369,-70,-76,-80,-36,-36,10,1,472.0,0.5105932203389829
370,-25,-20,-100,0,-30,-40,0,289.0,0.4705882352941176
371,-24,10,-27,2,-18,22,1,984.0,0.3993902439024391
372,-15,-10,-116,-30,-106,-35,0,270.0,0.3888888888888889
373,-19,-37,2,-50,-18,-63,0,547.0,0.2961608775137112
374,0,-71,-49,21,-51,-40,0,1066.0,0.38649155722326456
375,-32,-22,-42,-35,-40,-34,0,173.0,0.6878612716763006
376,62,139,120,100,25,25,1,266.0,0.481203007518797
377,-70,-120,-80,-65,-80,-40,0,1208.0,0.4983443708609272
378,-45,-52,-5,-97,-68,-2,0,274.0,0.4963503649635037
379,20,-10,0,40,35,0,0,445.0,0.6292134831460674
380,-60,-20,0,-70,-40,-35,0,358.0,0.3966480446927375
381,-1,13,-11,36,54,7,1,190.0,0.3894736842105263
382,-10,5,-10,4,10,-13,0,1066.0,0.38649155722326456
383,-15,-10,-15,50,25,5,1,1086.0,0.6160220994475138
384,-75,-55,-26,-126,-52,-52,0,584.0,0.2842465753424658
385,-50,5,-5,50,40,20,1,1086.0,0.6160220994475138
386,3,20,18,-30,18,2,1,313.0,0.6900958466453674
387,10,-3,-22,45,45,5,1,764.0,0.4816753926701571
388,25,32,15,70,5,14,1,1066.0,0.38649155722326456
389,-40,-75,-90,-10,-20,35,1,448.0,0.5200892857142857
390,15,20,30,-20,-20,-65,0,571.0,0.5306479859894921
391,-26,-22,-36,-49,4,-48,0,203.0,0.29064039408866993
392,10,15,15,-10,10,-10,0,445.0,0.5280898876404494
393,-16,53,-20,-4,-20,7,1,1086.0,0.6160220994475138
394,-5,-5,-25,-95,-30,85,1,201.0,0.27860696517412936
395,36,-20,10,27,15,-66,0,811.0,0.5474722564734895
396,24,50,106,5,-5,-20,0,120.0,0.7583333333333333
397,34,28,33,-53,27,21,1,632.0,0.3734177215189873
398,9,17,13,-44,-1,-71,1,931.0,0.4156820622986037
399,12,-15,-62,46,2,-43,0,386.0,1.0
400,-5,35,25,-30,-10,-30,0,179.0,0.3128491620111732
401,24,9,35,14,45,-8,0,295.0,0.48813559322033895
402,1,35,0,-40,-10,35,1,547.0,0.7038391224862889
403,15,65,92,18,-5,44,1,356.0,0.5449438202247191
404,-40,-45,-55,40,0,25,0,103.0,0.5048543689320388
405,-11,-13,12,49,49,29,1,459.0,0.6666666666666666
406,0,-79,-53,-10,-3,53,0,682.0,0.6055718475073314
407,11,2,25,49,-30,8,1,971.0,1.0
408,37,75,62,-57,-99,-35,1,82.0,0.7073170731707317
409,-46,-64,-12,11,16,-30,0,445.0,0.5280898876404494
410,-30,-65,-50,-61,-27,-62,0,584.0,0.2842465753424658
411,-45,-100,-100,-60,-50,-15,0,472.0,0.5105932203389829
412,40,-40,10,-100,-50,-60,0,229.0,0.6419213973799127
413,-39,60,15,-10,-20,10,1,1204.0,0.4609634551495017
414,-65,-87,-142,-14,-4,42,0,295.0,0.48813559322033895
415,45,-7,-6,-10,7,-42,0,358.0,0.3966480446927375
416,6,-16,0,36,25,94,1,214.0,0.7616822429906542
417,-3,65,-30,-57,-48,-27,0,482.0,0.4315352697095436
418,-7,-18,30,9,33,-49,1,931.0,0.4156820622986037
419,60,90,30,0,30,35,1,247.0,0.757085020242915
420,66,85,50,75,119,34,1,861.0,0.5412311265969802
421,-11,-31,-46,29,44,14,1,60.0,0.4
422,0,1,-21,19,31,20,1,472.0,0.5105932203389829
423,-25,-12,-27,13,-27,41,1,931.0,0.5843179377013964
424,-50,-25,-30,-65,-30,-52,0,332.0,0.7228915662650602
425,-46,29,-47,-50,-35,18,1,215.0,1.0
426,-35,-21,9,-35,5,-100,0,764.0,0.4816753926701571
427,45,65,10,-45,-20,-70,1,472.0,0.4533898305084746
428,-15,-7,4,-60,-5,-74,0,459.0,0.3333333333333333
429,5,30,-5,30,-20,10,1,332.0,0.7228915662650602
430,-24,-35,-50,-70,0,-26,0,335.0,0.4776119402985074
431,35,60,70,35,30,65,1,252.0,0.5674603174603174
432,-35,-90,-29,100,-35,49,1,500.0,0.46799999999999997
433,30,-8,2,-5,0,-24,0,133.0,0.43609022556390975
434,25,10,21,85,51,35,1,301.0,0.43521594684385373
435,20,30,-45,-5,-15,0,0,124.0,0.4919354838709678
436,-52,5,-45,-50,-45,5,1,971.0,1.0
437,-4,-16,-30,-4,-15,34,0,484.0,0.493801652892562
438,-50,-32,-134,11,4,37,1,93.0,0.5913978494623656
439,11,-3,17,-6,67,15,1,473.0,0.266384778012685
440,-15,-35,15,-90,-45,-75,0,194.0,0.31958762886597936
