,dif_hp,dif_atk,dif_def,dif_spatk,dif_spdef,dif_sp
357,5,-4,5,-4,-20,-1
358,-48,-25,68,-22,49,27
359,17,-18,-61,7,64,76
360,-5,29,5,39,-5,2
361,35,5,68,10,-35,-43
362,35,10,0,-50,35,50
363,43,56,-25,56,10,20
364,9,3,20,-25,0,-2
365,10,-26,30,14,40,-54
366,-30,-50,0,10,20,0
367,14,44,14,34,64,-5
368,5,-50,0,-15,-25,-25
369,-70,-76,-80,-36,-36,10
370,-25,-20,-100,0,-30,-40
371,-24,10,-27,2,-18,22
372,-15,-10,-116,-30,-106,-35
373,-19,-37,2,-50,-18,-63
374,0,-71,-49,21,-51,-40
375,-32,-22,-42,-35,-40,-34
376,62,139,120,100,25,25
377,-70,-120,-80,-65,-80,-40
378,-45,-52,-5,-97,-68,-2
379,20,-10,0,40,35,0
380,-60,-20,0,-70,-40,-35
381,-1,13,-11,36,54,7
382,-10,5,-10,4,10,-13
383,-15,-10,-15,50,25,5
384,-75,-55,-26,-126,-52,-52
385,-50,5,-5,50,40,20
386,3,20,18,-30,18,2
387,10,-3,-22,45,45,5
388,25,32,15,70,5,14
389,-40,-75,-90,-10,-20,35
390,15,20,30,-20,-20,-65
391,-26,-22,-36,-49,4,-48
392,10,15,15,-10,10,-10
393,-16,53,-20,-4,-20,7
394,-5,-5,-25,-95,-30,85
395,36,-20,10,27,15,-66
396,24,50,106,5,-5,-20
397,34,28,33,-53,27,21
398,9,17,13,-44,-1,-71
399,12,-15,-62,46,2,-43
400,-5,35,25,-30,-10,-30
401,24,9,35,14,45,-8
402,1,35,0,-40,-10,35
403,15,65,92,18,-5,44
404,-40,-45,-55,40,0,25
405,-11,-13,12,49,49,29
406,0,-79,-53,-10,-3,53
407,11,2,25,49,-30,8
408,37,75,62,-57,-99,-35
409,-46,-64,-12,11,16,-30
410,-30,-65,-50,-61,-27,-62
411,-45,-100,-100,-60,-50,-15
412,40,-40,10,-100,-50,-60
413,-39,60,15,-10,-20,10
414,-65,-87,-142,-14,-4,42
415,45,-7,-6,-10,7,-42
416,6,-16,0,36,25,94
417,-3,65,-30,-57,-48,-27
418,-7,-18,30,9,33,-49
419,60,90,30,0,30,35
420,66,85,50,75,119,34
421,-11,-31,-46,29,44,14
422,0,1,-21,19,31,20
423,-25,-12,-27,13,-27,41
424,-50,-25,-30,-65,-30,-52
425,-46,29,-47,-50,-35,18
426,-35,-21,9,-35,5,-100
427,45,65,10,-45,-20,-70
428,-15,-7,4,-60,-5,-74
429,5,30,-5,30,-20,10
430,-24,-35,-50,-70,0,-26
431,35,60,70,35,30,65
432,-35,-90,-29,100,-35,49
433,30,-8,2,-5,0,-24
434,25,10,21,85,51,35
435,20,30,-45,-5,-15,0
436,-52,5,-45,-50,-45,5
437,-4,-16,-30,-4,-15,34
438,-50,-32,-134,11,4,37
439,11,-3,17,-6,67,15
440,-15,-35,15,-90,-45,-75
441,-25,0,70,10,15,-63
442,33,32,22,9,4,81
443,-15,-35,-65,60,30,10
444,-20,-68,20,-18,-50,-46
445,10,-40,20,-25,20,10
446,3,32,-1,-24,8,11
447,15,5,-45,60,30,5
448,26,9,80,31,95,4
449,15,-10,10,50,30,5
450,-25,-15,-5,10,-35,60
451,29,76,25,60,15,55
452,183,-52,-50,-42,50,-64
453,25,10,40,40,40,35
454,-25,25,5,35,5,26
455,-39,-45,-50,-80,-60,-36
456,9,19,6,19,-4,26
457,-39,-71,-18,3,-17,-11
458,65,65,60,65,45,50
459,-25,0,0,40,70,10
460,-18,13,-56,-7,-11,17
461,5,-60,30,20,30,10
462,-15,-40,-10,-25,-15,-55
463,-70,-90,-35,-15,55,0
464,-5,-5,2,-5,-13,20
465,25,-11,-11,-88,-54,-16
466,46,40,74,15,7,78
467,14,13,-55,-27,-55,-5
468,13,56,-36,11,-51,12
469,-76,-52,33,-12,0,-68
470,10,13,10,28,35,20
471,-75,10,-35,-70,-80,5
472,-60,-55,-60,-70,-80,-25
473,60,-5,5,15,55,50
474,-11,3,18,-15,-2,-2
475,0,3,-8,-9,-9,3
476,26,33,27,15,20,-25
477,15,25,-15,45,-15,15
478,-29,-28,-3,-35,-5,-15
479,-15,-15,-30,-37,-63,-14
480,39,37,39,46,36,15
481,10,-36,-15,0,-5,-49
482,36,22,65,45,17,77
483,-51,-11,-42,-36,-52,-18
484,32,26,27,45,25,20
485,34,-21,-15,17,28,11
486,-45,-54,10,-25,-40,-52
487,10,110,25,55,15,0
488,2,20,17,103,78,48
489,10,95,50,25,70,68
490,-18,-15,-20,-5,15,-11
491,0,30,116,41,-3,27
492,-45,-35,-55,-65,-55,30
493,15,35,15,20,10,10
494,0,5,10,-30,25,20
495,45,85,3,15,3,9
496,20,30,20,0,0,45
497,-32,-60,-31,-60,-50,-42
498,40,25,-65,65,-60,5
499,10,-20,20,20,25,15
500,0,-25,-61,0,2,14
501,-16,20,100,-65,-31,-60
502,65,50,19,45,105,31
503,50,96,-5,66,25,63
504,27,95,10,-25,0,-27
505,-25,-78,-23,-78,-23,-81
506,190,-55,-55,25,85,-35
507,14,56,5,50,15,55
508,-25,-45,-30,-5,-30,15
509,21,140,75,5,65,44
510,-78,-90,-25,-10,-60,-42
511,35,-10,5,10,10,-25
512,-40,-45,-45,-25,-40,-20
513,20,45,45,-45,-55,-70
514,25,20,136,11,17,-13
515,-13,20,-5,0,-20,-7
516,-24,-33,-40,-115,-65,37
517,22,40,18,25,15,15
518,30,28,-5,43,10,-21
519,18,90,20,0,50,60
520,15,-15,-5,65,15,65
521,-5,25,-20,-10,-20,-20
522,21,-15,20,25,60,-21
523,-30,15,10,15,10,100
524,55,95,25,70,10,45
525,-55,-90,-108,-50,-58,-14
526,-14,-58,-24,21,-44,34
527,-72,-125,-95,-75,-65,-50
528,2,20,25,20,75,-2
529,70,88,35,-20,-5,-40
530,85,40,50,15,45,50
531,10,-5,15,-10,10,-30
532,-32,6,-11,-44,-29,-69
533,-5,35,5,60,20,20
534,50,15,35,40,10,-65
535,-55,-60,-40,-60,-25,-50
536,-15,-75,-75,-110,-40,-50
537,11,18,-57,45,-61,19
538,19,-4,15,10,10,10
539,0,0,20,-35,-15,-15
540,26,42,26,29,-14,43
541,5,35,50,20,0,-25
542,85,35,40,30,30,-10
543,3,40,57,-28,61,-14
544,20,-2,0,95,45,47
545,9,24,10,-5,10,-40
546,-37,-60,-25,-90,-45,-13
547,38,29,68,31,22,-13
548,-45,-20,22,40,42,51
549,18,58,68,45,48,5
550,35,40,30,-20,10,0
551,-65,-41,15,-111,-15,-59
552,-18,-45,-62,-70,-36,-40
553,-50,-35,-30,-75,-20,0
554,-10,-27,5,-37,-35,-25
555,-55,27,12,-16,-6,-17
556,-15,10,5,-65,-35,-30
557,-6,-15,2,-2,13,-2
558,-25,-74,-131,-1,7,12
559,80,124,135,60,85,11
560,65,25,-20,25,-15,0
561,-32,-45,-21,15,-32,-30
562,20,10,5,35,-10,25
563,-5,-5,95,-35,95,20
564,-10,-21,-10,-5,0,-84
565,-8,-57,5,-40,25,-13
566,-41,-10,-5,-42,8,-1
567,-5,25,5,-5,-5,45
568,27,-13,-75,17,-75,89
569,-10,-13,-1,-1,31,69
570,-60,-50,-45,-105,-45,-85
571,5,5,5,80,20,39
572,30,24,30,25,30,21
573,10,-10,5,-95,45,-80
574,4,13,35,30,44,-7
575,-40,-130,-90,-70,-10,50
576,-40,-21,-19,20,-10,-15
577,5,20,-25,30,-45,0
578,-15,-25,-24,26,1,7
579,-48,-57,-77,-4,-30,6
580,10,25,10,55,0,-5
581,-10,-30,5,5,15,-17
582,20,-20,15,30,85,60
583,-10,-34,30,45,-25,24
584,1,-43,-78,-18,-10,37
585,85,80,55,75,35,5
586,-20,-56,-15,-21,-5,-89
587,54,60,30,35,20,51
588,-29,4,42,-46,-18,-33
589,200,-35,-35,50,110,40
590,-8,35,34,-5,65,34
591,41,75,38,23,48,-30
592,6,27,10,-15,10,-35
593,-106,35,70,5,4,-30
594,-5,-10,-15,66,42,32
595,18,100,35,30,-65,5
596,5,-5,-5,10,-15,5
597,55,-34,55,95,55,14
598,-51,-65,-78,-108,-63,-5
599,41,70,10,105,41,55
600,-20,-65,-30,-110,-50,-95
601,-30,5,-30,-35,-5,-45
602,-30,-30,30,-20,-30,-65
603,-30,-40,-65,-20,-10,-10
604,50,15,-25,10,-15,-50
605,-35,-24,-63,10,-43,35
606,43,20,9,20,13,25
607,-30,-45,-40,-75,-45,45
608,26,54,9,64,9,43
609,-15,-15,-35,-5,-35,15
610,-40,-55,-48,-55,-48,26
611,-50,-40,-21,-20,-27,-31
612,-22,-5,-105,-35,-105,-8
613,-5,-20,-13,60,40,-10
614,-36,-2,15,-45,-50,-2
615,-29,-19,-40,-73,-36,-64
616,-10,10,-10,5,5,-20
617,-20,-65,-25,-70,40,-35
618,15,-11,-25,20,20,11
619,-10,20,9,-30,-6,-13
620,-21,8,8,-44,-34,61
621,-44,-64,-50,25,-30,10
622,-40,10,-25,-50,-55,30
623,-15,-5,-30,35,-35,-20
624,40,75,39,60,44,14
625,-50,-5,31,40,76,20
626,-27,-3,-2,-62,-68,2
627,1,-3,3,-13,5,2
628,10,15,52,15,-10,25
629,-14,-23,-10,-70,-40,-18
630,20,42,-35,-20,10,3
631,7,-7,8,70,60,15
632,-45,-90,55,-5,85,15
633,45,31,20,106,60,64
634,70,108,2,78,12,60
635,32,40,35,85,40,70
636,20,-10,10,25,20,-25
637,11,-11,-33,-60,-30,-2
638,0,25,0,55,0,40
639,-45,70,55,60,-5,73
640,-40,35,92,65,87,71
641,-25,35,45,70,75,115
642,-30,15,35,-65,-55,-60
643,25,-30,25,-70,30,-50
644,15,-32,-15,-55,-15,-60
645,-8,14,-10,-20,-39,0
646,-15,-2,-40,7,-30,-15
647,-15,-30,-90,-55,-85,15
648,-19,20,0,-15,-10,45
649,5,-75,35,20,50,-10
650,-35,-145,-55,0,-30,-25
651,45,40,25,75,85,15
652,55,88,-167,88,-167,96
653,-40,-70,-125,-20,-5,10
654,-25,-10,-35,-45,20,5
655,-15,-10,2,-5,45,50
656,-85,-25,-43,-20,-15,3
657,-14,-49,-25,50,5,-25
658,6,-5,-2,-2,3,-10
659,-29,-41,-11,7,-16,32
660,215,-35,-25,45,95,0
661,30,5,50,35,15,-85
662,8,-20,20,30,35,17
663,45,70,30,70,30,50
664,22,20,25,-20,5,-37
665,12,-26,41,-91,31,-72
666,63,38,-3,26,1,54
667,8,12,40,14,-7,-11
668,20,5,-25,70,-35,-30
669,17,-31,-13,-16,7,-24
670,-40,-50,-30,-119,-99,0
671,-30,-30,-26,-70,-46,-58
672,10,10,-2,-35,-2,-11
673,-30,20,-10,-16,-56,-10
674,-25,-110,-10,-85,-30,-85
675,-35,30,-28,-20,-55,3
676,-5,84,6,106,-6,65
677,70,70,0,20,-100,40
678,-10,-5,-120,4,-2,28
679,40,45,16,56,32,52
680,81,71,65,51,48,34
681,-19,22,83,-13,83,-36
682,30,30,20,20,30,70
683,39,68,33,-7,10,-3
684,-30,-95,-195,-30,-40,5
685,56,-29,-71,56,-21,45
686,-15,42,-25,22,-70,23
687,75,117,52,67,42,31
688,17,27,52,18,44,-15
689,5,-9,15,61,0,29
690,15,-7,13,-62,8,-35
691,-60,-23,-23,-40,-41,-17
692,0,-23,21,-5,38,-31
693,-6,-2,25,0,24,-21
694,5,5,-20,-17,-53,66
695,-65,40,-110,125,-35,110
696,-52,-25,-35,-10,-15,5
697,45,60,70,40,25,35
698,22,108,55,25,75,60
699,-15,-70,-25,10,-20,-40
700,62,114,102,68,54,33
701,10,15,-105,-20,35,35
702,31,54,-15,50,20,35
703,25,5,-35,5,20,80
704,-83,-35,-22,-17,-41,-3
705,-80,-125,-75,-50,-10,-30
706,-60,-103,-45,-17,5,-25
707,-20,-58,-25,-115,-80,-22
708,38,83,42,39,44,40
709,33,-24,56,15,56,-1
710,2,15,2,13,6,37
711,29,47,12,30,31,31
712,-60,-65,27,35,47,6
713,34,23,0,120,90,13
714,18,19,23,50,25,25
715,5,5,-130,105,25,80
716,1,34,-1,51,11,-15
717,-8,-8,12,-64,-32,-52
718,0,-67,17,51,37,43
719,-39,24,-14,-21,-39,38
720,60,90,90,95,70,5
721,10,-40,-25,-15,-15,-45
722,30,10,75,25,30,25
723,55,128,30,153,130,61
724,5,65,-45,85,5,5
725,5,20,29,-20,60,11
726,-64,-26,-24,-41,-24,18
727,15,50,85,10,55,-10
728,40,64,8,64,8,-4
729,-15,20,-10,30,0,15
730,-10,0,5,-35,5,-20
731,-1,-11,-5,39,2,-4
732,0,40,0,-50,20,85
733,28,-2,55,16,91,-8
734,35,-80,20,-15,20,-25
735,-75,-35,15,-15,75,25
736,80,-20,30,10,35,-15
737,4,13,13,20,15,-25
738,20,2,-41,-30,1,53
739,55,15,39,38,65,21
740,48,3,28,45,48,0
741,20,20,65,30,-10,30
742,-25,-5,-25,-70,15,5
743,-20,0,-7,-60,-82,-46
744,-40,8,-8,-68,-59,-13
745,60,97,75,32,70,-50
746,40,-10,10,0,0,-50
747,26,60,40,48,42,44
748,-51,-13,22,38,-7,11
749,-24,-46,-39,9,-39,38
750,70,70,60,10,50,10
751,-36,18,-20,23,-15,61
752,-20,8,-35,-22,-40,75
753,-20,17,-10,-8,-27,38
754,49,33,20,50,15,-95
755,26,-1,35,82,15,23
756,-35,-50,-45,25,-90,2
757,-25,-5,-20,15,-20,-75
758,0,0,4,-40,-16,-28
759,15,10,-3,-8,-3,-19
760,-10,-10,-10,0,25,15
761,-15,10,15,45,10,5
762,29,12,50,-3,45,-54
763,44,50,53,45,25,18
764,5,-10,20,-5,20,-24
765,30,-2,-72,33,-72,56
766,15,77,35,77,10,-80
767,60,105,65,66,55,25
768,10,55,-35,80,10,70
769,28,65,15,-55,5,-5
770,-10,13,7,-40,-15,-15
771,5,15,-10,5,20,-10
772,-25,-50,-34,-30,-44,-45
773,-5,-25,20,20,30,25
774,-30,-55,55,-35,5,-60
775,0,-25,-9,20,6,5
776,-75,25,-50,25,-50,25
777,-44,-48,-80,-90,-75,-18
778,15,-35,0,-20,-30,-10
779,45,50,60,-5,-5,-10
780,30,-12,-88,-6,-32,20
781,0,57,5,48,35,-20
782,-5,2,-29,35,-24,-5
783,64,9,55,27,85,47
784,16,72,31,-1,-19,58
785,-45,-65,-40,-75,-40,-40
786,40,-12,43,43,38,-13
787,15,-40,-20,20,-25,-35
788,-30,-60,-120,-55,-50,5
789,10,7,45,30,45,45
790,-8,0,5,-40,-40,-40
791,-50,-7,-27,-78,-78,-20
792,15,60,0,-20,-80,-20
793,-25,-43,-22,40,30,20
794,-5,15,35,-30,-20,-55
795,0,19,5,19,60,-4
796,-25,-25,5,45,5,5
797,-50,0,-43,-30,-55,53
798,-13,-14,-62,-8,2,-34
799,78,61,-46,16,-1,-18
800,0,-75,-45,-25,-10,-45
801,10,20,-75,25,-45,5
802,85,95,75,-15,0,-45
803,9,-19,20,-11,5,-19
804,-20,-73,-50,-88,-55,45
805,70,65,70,0,65,20
806,-30,-29,-25,37,-25,-14
807,35,50,15,80,-25,-40
808,20,0,10,-35,-10,-40
809,40,45,50,60,45,55
810,-15,-20,5,80,70,70
811,-40,-90,-40,-95,-40,-40
812,-41,-5,-34,49,8,59
813,30,15,0,75,115,55
814,45,-3,23,-25,-15,-55
815,-48,-35,-15,-20,-5,-72
816,-46,-82,-41,-17,-25,-34
817,-4,7,-14,-46,-14,12
818,-12,-15,-85,-15,-25,20
819,3,-25,-64,5,-14,5
820,-55,105,30,105,25,40
821,-16,22,2,43,-12,31
822,30,60,20,25,40,80
823,10,-5,35,35,50,5
824,-50,-140,-56,-10,-66,-18
825,-8,-10,-20,-55,20,10
826,50,45,30,100,20,40
